브랜드,대상시즌, 비율 
I, 20F , 0.050 
I, 20S , 0.100 
I, 21F , 0.067 
I, 21N , 0.081 
I, 21S , 0.099 
I, 22F , 0.111 
I, 22N , 0.098 
I, 22S , 0.082 
I, 23F , 0.118 
I, 23N , 0.116 
I, 23S , 0.109 
I, 24N , 0.082 
I, 24S , 0.053 
I, 24F , 0.134 
I, 25F , 0.113 
I, 25N , 0.131 
I, 25S , 0.134 
I, 26N , 0.100 
M, 20F , 0.045 
M, 20S , 0.034 
M, 21F , 0.019 
M, 21N , 0.029 
M, 21S , 0.036 
M, 22F , 0.037 
M, 22N , 0.033 
M, 22S , 0.024 
M, 23F , 0.030 
M, 23N , 0.032 
M, 23S , 0.035 
M, 24N , 0.032 
M, 24S , 0.030 
M, 24F , 0.040 
M, 25F , 0.032 
M, 25N , 0.036 
M, 25S , 0.042 
M, 26N , 0.021 
V, 24S , 0.028 
V, 24F , 0.100 
V, 25F , 0.195 
V, 25N , 0.194 
V, 25S , 0.101 
X, 20F , 0.045 
X, 20S , 0.045 
X, 21F , 0.062 
X, 21N , 0.056 
X, 21S , 0.046 
X, 22F , 0.047 
X, 22N , 0.052 
X, 22S , 0.054 
X, 23F , 0.056 
X, 23N , 0.052 
X, 23S , 0.042 
X, 24N , 0.088 
X, 24S , 0.097 
X, 24F , 0.057 
X, 25F , 0.082 
X, 25N , 0.076 
X, 25S , 0.059 
X, 26N , 0.076 
