브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
I,공통,0,0,0,126683553,-126683553,0,0,0,0,0,0,0,0,0,0,0,-126683553,1094219375
I,백화점,3826209800,3443039690,3130035907,945935153,1050696681,436949474,0,0,39059421,52905319,0,0,119797857,0,52407460,701119531,349577150,0
I,면세점,1248985700,1248970450,1135427675,318657973,362597600,0,0,83239501,14059826,19192499,0,0,40875297,0,4180560,161547683,201049917,0
I,직영점(가두),176748600,175889120,159899194,44100924,115798270,0,0,0,1981254,2701837,0,0,6229728,0,0,10912819,104885451,0
I,대리점,1061852200,1029294110,935721766,267635174,336674630,0,0,0,11803347,15818041,0,0,36258624,0,0,63880012,272794618,0
I,제휴몰,956253000,907319930,824836284,243746021,581090263,0,0,0,34237239,13940043,0,217290605,32168622,0,0,297636509,283453754,0
I,자사몰,548815700,488600309,444182086,142133344,302048742,0,0,0,18444850,7509039,0,0,17329456,0,0,43283345,258765397,0
I,직영몰,320979100,309908160,281734682,78916018,202818664,0,43207180,0,3509728,4764192,3496051,0,10987673,90473911,10695170,167133905,35684759,0
I,사입,3833511000,1006958500,915416834,736637725,178779109,0,0,0,11455576,15472300,0,0,54925006,0,0,81852882,96926227,0
I,기타,13488900,4965060,4513694,7562379,-3048685,0,0,0,0,82069,0,0,270819,0,0,352888,-3401573,0
M,공통,0,0,0,352058660,-352058660,0,0,0,0,0,0,0,0,0,0,0,-352058660,3940314356
M,백화점,8083761300,7640651640,6946047094,1444337156,3105975490,755389581,0,0,84558389,157951265,0,0,318521317,0,126282349,1442702901,1663272589,0
M,면세점,11008102200,10910066330,9918242112,1856785640,4269062821,0,0,460871646,120242717,225521577,0,0,428809264,0,10934691,1246379895,3022682926,0
M,RF,2295777400,1834798500,1667998638,411630269,917107086,36621079,47027015,0,30747799,37927103,17167449,0,74854902,119150696,15541950,379037993,538069093,0
M,직영점(가두),1512365200,1475396750,1341269766,267831621,1073438145,0,136475739,0,16274383,30509246,34661751,0,61027798,405178820,45999524,730127261,343310884,0
M,대리점,5522297900,5277729740,4797936281,1007976403,2060087251,0,0,0,58760085,109110903,0,0,214764205,0,0,382635193,1677452058,0
M,제휴몰,2018466900,1942523660,1765930625,336186111,1429744514,0,0,0,94196027,40163040,0,477021775,80349888,0,0,691730730,738013784,0
M,자사몰,1003846000,905877466,823524964,182395957,641129007,0,0,0,43925611,18733014,34068042,0,37499576,0,0,134226243,506902764,0
M,직영몰,651868100,625423410,568566760,115623476,452943284,0,78824007,0,6901344,12934826,4433560,0,25869833,191416366,33870663,354250599,98692685,0
M,사입,16760719000,3556861000,3233510007,1345677284,1887832723,0,0,0,39865868,73509834,0,0,226345709,0,0,339721411,1548111312,0
M,기타,54322000,25348270,23043871,9918206,13125665,0,0,0,1557,572466,0,0,1613073,0,0,2187096,10938569,0
ST,백화점,141345800,107897460,98088592,34668121,31826299,50636363,0,0,3410453,2400430,0,0,3531342,0,16057569,76036157,-44209858,0
ST,면세점,134995700,130200830,118364383,30594659,36873098,0,0,20190950,4085134,2896777,0,0,4261123,0,2947916,34381900,2491198,0
ST,제휴몰,145700500,107926080,98114618,34512966,63601652,0,0,0,4069998,2401400,0,26705516,3532129,0,0,36709043,26892609,0
ST,자사몰,342911200,286631450,260574047,80834539,179739508,0,0,0,10546743,6377611,8378046,0,9380658,0,0,34683058,145056450,0
ST,직영몰,221360400,119041550,108219591,54242284,53977307,0,27096678,0,3756028,2649075,650863,0,3895918,54995965,13270834,106315361,-52338054,0
ST,아울렛,142345300,75040020,68218194,32839035,35379159,0,10567486,0,2354993,1669471,430819,0,2455859,15045022,2197916,34721566,657593,0
ST,기타,1902800,770840,700763,522321,178442,0,0,0,0,17490,0,0,25227,0,0,42717,135725,0
V,공통,0,0,0,300728821,-300728821,0,0,0,0,0,0,0,0,0,0,0,-300728821,1269626950
V,백화점,2068520000,1430094540,1300085958,349525527,607229475,170260251,0,0,8075812,20074550,0,0,32502139,0,19410782,250323534,356905941,0
V,제휴몰,836762000,484469300,440426631,106604373,333822258,0,0,0,6345586,6800458,0,127120579,11010666,0,0,151277289,182544969,0
V,자사몰,317230000,206415380,187650341,61215798,126434543,0,0,0,2699189,2897268,4451163,0,4691259,0,0,14738879,111695664,0
V,직영몰,569244000,311633220,283302923,88400021,194902902,0,34747093,0,1760234,4374578,2926644,0,7082568,56125913,7821044,114838074,80064828,0
V,아울렛,2326139000,904909660,822645141,327817792,494827349,0,77526528,0,5104907,12702570,12191520,0,0,112131519,3362507,223019551,271807798,0
V,기타,1090000,231470,210427,-259308,469735,0,0,0,0,3279,0,0,5261,0,0,8540,461195,0
W,면세점,137428000,117268850,106608051,36054679,24711882,0,0,33802644,4279421,2855451,0,0,3997799,0,3775921,48711236,-23999354,0
W,직영점(가두),338845000,170357320,154870291,91147548,63722743,0,32578309,0,6216745,4148399,3112133,0,5807637,160000000,8435600,220298823,-156576080,0
W,제휴몰,40315000,31956300,29051185,10619067,18432118,0,0,0,1263962,778170,0,8911964,1089420,0,0,12043516,6388602,0
W,자사몰,66210000,63874894,58068088,17246177,40821911,0,0,0,2550927,1555408,1564919,0,2182821,0,0,7854075,32967836,0
W,직영몰,49456000,28974000,26339991,13774455,12565536,0,9557018,0,1057773,705534,0,0,987744,25405665,6507438,44221172,-31655636,0
W,기타,1345000,926030,841846,379559,462287,0,0,0,0,22546,0,0,31569,0,0,54115,408172,0
X,공통,0,0,0,1745206263,-1745206263,0,0,0,0,0,0,0,0,0,0,0,-1745206263,6502171576
X,백화점,22862247000,17526450410,15933136725,4326658762,6351042499,1577572331,0,0,114411347,150281105,0,0,334596074,0,143877412,2320738269,4030304230,0
X,면세점,2605028000,2428432600,2207665997,544950573,779648721,0,0,124130920,15796049,20826751,0,0,46360989,0,4345545,211460254,568188467,0
X,직영점(가두),193185000,183927690,167206991,40728882,126478109,0,27300306,0,1196668,1576152,3168229,0,3511351,63672480,2570148,102995334,23482775,0
X,대리점,26138097000,22389082390,20353711209,5283961431,8252585940,0,0,0,146247962,192042687,0,0,427427918,0,0,765718567,7486867373,0
X,제휴몰,8825241000,6618207830,6016552514,1610984645,4405567869,0,0,0,204176351,56767986,0,1366744491,126347593,0,0,1754036421,2651531448,0
X,자사몰,3754408000,3276958390,2979053078,790472570,2188580508,0,0,0,101078620,28105939,77284868,0,62560113,0,0,269029540,1919550968,0
X,직영몰,1759077000,1647505490,1497732269,360510866,1137221403,0,145371327,0,10733745,14136003,27760780,0,31452379,321360954,31185366,582000554,555220849,0
X,아울렛,24538010000,15974510130,14522281960,4274487666,10247794294,0,1059406253,0,103943212,136989208,120731456,0,304967937,2802086217,90750598,4618874881,5628919413,0
X,사입,4746716000,616945680,560859716,474630516,86229200,0,0,0,4014128,5291135,0,0,50477370,0,0,59782633,26446567,0
X,기타,67646000,23743730,21585201,13527796,8057405,0,0,0,0,175767,0,0,453283,0,0,629050,7428355,0
