브랜드,M,M,M,M,M,M,M,M,M,M,M
Version,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),사입,수출,직영(가두)2
TAG가 [v+],213901557,8657712,10800643,3096740,1149306,2363142,5925804,,316388,180928774,663048
실판매액 [v+],106449947,8350000,10600000,2868000,960000,2303000,5674000,,79097,74970851,645000
실판매액 [v-],103588211,7590909,9636364,2607273,872727,2093636,5158182,,71906,74970851,586364
수수료차감매출 [v-],95538605,4935653,5974545,2607273,872727,2093636,3425650,,71906,74970851,586364
할인율(%),50.23,3.55,1.86,7.39,16.47,2.54,4.25,,75,58.56,2.72
출고율(%),98.72,65.02,62,100,100,100,66.41,,100,100,100
매출(출고),95538605,4935653,5974545,2607273,872727,2093636,3425650,,71906,74970851,586364
매출원가,38855855,1448955,1808023,516084,190466,395793,991449,,56246,33337848,110992
재고평가감_환입,28976,4006,4997,1374,482,1085,2766,,13961,,304
재고평가감_설정,164433,,,,,,,,,,
재고자산평가,135457,-4006,-4997,-1374,-482,-1085,-2766,,-13961,,-304
원가,38991312,1444949,1803026,514710,189984,394707,988683,,42284,33337848,110688
매출원가율(%),40.15,19.09,18.76,19.79,21.82,18.9,19.22,,78.22,48.91,18.93
직접제조원가율(%),19.98,18.41,18.41,18.33,18.23,18.42,18.4,,19.56,20.27,18.41
매출총이익,56547293,3490705,4171520,2092563,682743,1698929,2436967,,29622,41633003,475676
매출총이익율(%),58.43,45.99,43.29,80.26,78.23,81.15,47.24,,41.2,61.09,81.12
지급수수료_중간관리수수료,741538,741538,,,,,,,,,
지급수수료_중간관리수수료(직영),69800,,,,,,,,,,69800
지급수수료_판매사원도급비(직영),178661,,,178661,,,,,,,
지급수수료_판매사원도급비(면세),519364,,519364,,,,,,,,
지급수수료_물류용역비,536495,142308,180655,48879,16361,39250,96701,,1348,,10993
지급수수료_물류운송비,190294,50477,64078,17337,5803,13922,34300,,478,,3899
지급수수료_이천보관료,601071,159437,202399,54762,18331,43974,108341,,1510,,12316
지급수수료_카드수수료,94924,,,59918,30199,,,,,,4806
지급수수료_온라인위탁판매수수료,517906,,,,,517906,,,,,
지급수수료_로열티,8785908,345496,418218,118631,39709,95260,239795,,5033,7497085,26680
지급임차료_매장(변동),150676,,,18533,,,,,,,132142
지급임차료_매장(고정),589357,2575,6525,577350,,,,,,,2907
지급임차료_관리비,84480,,,52822,,,,,,,31658
감가상각비_임차시설물,194895,85601,11758,65138,,,,11799,,,20599
직접비,13255368,1527432,1402997,1192032,110404,710312,479138,11799,8370,7497085,315800
직접이익,43291925,1963273,2768522,900531,572340,988617,1957829,-11799,21252,34135918,159876
직접이익율(%),41.79,25.86,28.73,34.54,65.58,47.22,37.96,,29.56,45.53,27.27
영업비,3344644,768468,975598,440761,179721,241213,521153,13,7265,15848,95004
영업이익,39947282,1194805,1792925,459770,392619,747403,1436676,-11812,13987,34120070,64872
영업이익율(%),41.28,15.74,18.61,17.63,44.99,35.7,27.85,,19.45,50.06,11.06
